intensity,channel,timestamp,azimuth,altitude,distance_m,x,y,z
38,25,3369448636128,35972,700,1.2080001,-0.0058593843,1.1989815,0.14721818
65,26,3369448638432,252,466,1.32,0.057845492,1.3143512,0.10740111
34,27,3369448638432,35692,-233,1.3560001,-0.07279838,1.352919,-0.05519907
75,28,3369448640736,532,-200,1.296,0.12008952,1.2896312,-0.045229748
68,29,3369448640736,35972,1500,1.312,-0.0061931545,1.2672795,0.33957058
36,30,3369448643040,252,1033,1.248,0.05398229,1.2265725,0.22385235
57,31,3369448643040,35972,-133,1.276,-0.0062340093,1.2756394,-0.029683765
21,0,3369448663776,272,-2500,2.052,0.08825437,1.8576484,-0.8672127
59,1,3369448663776,35712,-100,1.3360001,-0.067116365,1.3341094,-0.023316415
100,2,3369448666080,272,-166,1.292,0.06128608,1.2899982,-0.03758497
9,3,3369448666080,35992,-1563,3.0800002,-0.004141929,2.9659736,-0.83029217
10,4,3369448668384,272,-1131,1.292,0.060121376,1.2654825,-0.25338355
67,5,3369448668384,35992,0,1.2880001,-0.0017986674,1.2879989,0
12,6,3369448670688,552,-66,1.32,0.12696645,1.3137898,-0.01536623
8,7,3369448670688,35992,-884,1.3240001,-0.0018269628,1.3082609,-0.20353517
17,8,3369448672992,272,-725,1.284,0.06044469,1.272288,-0.1621284
52,9,3369448672992,35712,33,1.34,-0.06732643,1.338285,0.007787965
45,10,3369448675296,272,-33,1.292,0.06131099,1.2905227,-0.007508993
11,11,3369448675296,35992,-614,1.312,-0.0018216452,1.304453,-0.14051132
14,12,3369448677600,552,-533,1.304,0.12489298,1.2923346,-0.12119907
54,13,3369448677600,35992,133,1.2880001,-0.0017981805,1.2876503,0.029962923
19,14,3369448679904,552,66,1.32,0.12696645,1.3137898,0.01536623
11,15,3369448679904,35992,-400,1.3080001,-0.0018221474,1.3048127,-0.09124147
23,16,3369448682208,272,-466,1.264,0.059784405,1.2583898,-0.1028447
78,17,3369448682208,35712,166,1.332,-0.06689728,1.3297546,0.038748592
31,18,3369448684512,272,100,1.2720001,0.060353734,1.2703735,0.022199461
6,19,3369448684512,35712,-366,1.4360001,-0.07200331,1.4312501,-0.09184304
20,20,3369448686816,552,-333,1.3000001,0.124839656,1.2917829,-0.07558073
52,21,3369448686816,35992,333,1.1880001,-0.001656213,1.1859895,0.06906916
95,22,3369448689120,272,233,1.304,0.061830197,1.3014512,0.05308229
10,23,3369448689120,35992,-266,1.3000001,-0.0018134586,1.2985908,-0.060490463
14,24,3369448691424,272,-300,1.2800001,0.06065932,1.2768056,-0.06699003
38,25,3369448691424,35992,700,1.2080001,-0.0016743746,1.1989946,0.14721818
61,26,3369448693728,272,466,1.32,0.062433083,1.3141413,0.10740111
32,27,3369448693728,35712,-233,1.3440001,-0.06747258,1.34119,-0.054710586
75,28,3369448696032,552,-200,1.3000001,0.124975,1.2931833,-0.045369346
69,29,3369448696032,35992,1500,1.3160001,-0.0017751483,1.2711573,0.34060588
36,30,3369448698336,272,1033,1.2440001,0.05807676,1.222446,0.22313489
62,31,3369448698336,35992,-133,1.2800001,-0.0017870116,1.2796525,-0.029776819
20,0,3369448719072,292,-2500,2.052,0.09473823,1.857329,-0.8672127
57,1,3369448719072,35732,-100,1.3280001,-0.062085316,1.3263454,-0.023176797
100,2,3369448721376,292,-166,1.284,0.06538127,1.2817903,-0.03735225
11,3,3369448721376,12,-1563,3.072,0.0061957864,2.958266,-0.8281355
10,4,3369448723680,292,-1131,1.284,0.06413875,1.2574307,-0.2518146
67,5,3369448723680,12,0,1.2880001,0.0026975789,1.2879972,0
13,6,3369448725984,572,-66,1.3240001,0.13195027,1.3173184,-0.015412795
7,7,3369448725984,12,-884,1.312,0.0027151813,1.2964019,-0.20169044
18,8,3369448728288,292,-725,1.2720001,0.06427903,1.2601808,-0.1606132
47,9,3369448728288,35732,33,1.3280001,-0.062093727,1.3265252,0.007718222
